Section,Distance (km),Sub Distance (km),MPD Texture,ETD Texture,Speed (km/h),Events,Latitude (deg),Longitude (deg)
090600143F1,13.406,0.025,0.98,0.98,52,,13.649805,100.6831235
090600143F1,13.431,0.05,0.91,0.93,51,,13.6497273,100.6833411
090600143F1,13.456,0.075,1,1,48,,13.6496542,100.6835621
090600143F1,13.481,0.1,1.05,1.04,45,,13.6495828,100.6837829
090600143F1,13.506,0.125,0.96,0.97,44,,13.6495072,100.6840006
090600143F1,13.531,0.15,1.18,1.15,45,,13.6494269,100.6842166
090600143F1,13.556,0.175,1.12,1.1,46,,13.6493488,100.684432
090600143F1,13.582,0.2,1.11,1.09,46,,13.649253,100.6846472
090600143F1,13.607,0.225,0.96,0.97,47,,13.649159,100.6848436
090600143F1,13.632,0.25,1.15,1.12,48,,13.6490531,100.6850506
090600143F1,13.657,0.275,1.11,1.09,49,,13.6489367,100.6852568
090600143F1,13.682,0.3,1.28,1.22,50,,13.6488258,100.6854532
090600143F1,13.707,0.325,1.14,1.11,51,,13.6487042,100.6856502
090600143F1,13.732,0.35,1.25,1.2,52,,13.6485845,100.6858442
090600143F1,13.757,0.375,1.3,1.24,51,,13.648475,100.6860371
090600143F1,13.782,0.4,1.27,1.21,50,,13.6483642,100.6862352
090600143F1,13.807,0.425,1.09,1.07,48,,13.6482505,100.6864384
090600143F1,13.831,0.45,1.06,1.05,46,,13.6481371,100.6866411
090600143F1,13.856,0.475,1.18,1.14,46,,13.6480757,100.6868624
090600143F1,13.881,0.5,1.09,1.07,46,,13.6480942,100.687086
090600143F1,13.906,0.525,1.2,1.16,47,,13.648196,100.6872041
090600143F1,13.931,0.55,1.23,1.19,48,,13.6483186,100.6871246
090600143F1,13.956,0.575,1.15,1.12,48,,13.6484399,100.6870461
090600143F1,13.981,0.6,1.08,1.06,48,,13.6485618,100.6869671
090600143F1,14.006,0.625,1.01,1.01,47,,13.648686,100.6868867
090600143F1,14.031,0.65,0.99,0.99,46,,13.648814,100.6868038
090600143F1,14.056,0.675,1,1,44,,13.6489459,100.6867183
090600143F1,14.081,0.7,0.99,1,42,,13.6488204,100.6865344
090600143F1,14.106,0.725,1.06,1.05,41,,13.6486532,100.6863909
090600143F1,14.131,0.75,0.97,0.97,41,,13.6484698,100.6862547
090600143F1,14.157,0.775,0.82,0.86,41,,13.6482849,100.6861218
090600143F1,14.182,0.8,0.88,0.9,40,,13.6481017,100.685988
090600143F1,14.207,0.825,0.98,0.98,39,,13.647919,100.6858668
090600143F1,14.232,0.85,1.35,1.28,41,,13.6477441,100.6857265
090600143F1,14.257,0.875,1.01,1.01,39,,13.647563,100.6855928
090600143F1,14.281,0.9,1,1,35,,13.6473708,100.6854508
090600143F1,14.306,0.925,1,1,33,,13.6471852,100.6853138
090600143F1,14.308,0.927,1.01,1.01,32,,13.6471708,100.6853046
